Age_Group,Coaster,Park,City,State,Type,Design,Year_Opened,Latitude,Longitude,Top_Speed,Max_Height,Drop,Length,Duration,Inversions,Num_of_Inversions
2:recent,Timber Wolf,Worlds of Fun,Kansas City,Missouri,Wooden,Sit Down,1989,39.1763123,-94.4862721,53,100,95,4230,133,N,0
2:recent,Corkscrew,Silverwood Theme Park,Athol,Idaho,Steel,Sit Down,1990,47.9073114,-116.7025155,46,70,62,1250,,Y,2
2:recent,Georgia Cyclone,Six Flags Over Georgia,Austell,Georgia,Wooden,Sit Down,1990,33.7706696,-84.5510975,50,95,79,2970,108,N,0
2:recent,Iron Wolf,Six Flags Great America,Gurnee,Illinois,Steel,Stand Up,1990,42.3706208,-87.9360261,55,100,90,2900,120,Y,2
2:recent,Texas Giant,Six Flags Over Texas,Arlington,Texas,Wooden,Sit Down,1990,32.7550425,-97.0702818,65,143,137,4920,120,N,0
2:recent,Ultra Twister,Six Flags AstroWorld,Houston,Texas,Steel,Pipeline,1990,29.7604267,-95.3698028,44,97,92,1421,100,Y,3
2:recent,Viper,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1990,34.4253305,-118.5972191,70,188,171,3830,150,Y,7
2:recent,Afterburner,Fun Spot,Angola,Indiana,Steel,Sit Down,1991,41.6347726,-84.9994088,45,56,47,635,66,Y,1
2:recent,Anaconda,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,1991,37.839871,-77.4441912,50,128,144,2700,110,Y,4
2:recent,Dragon,Adventureland,Altoona,Iowa,Steel,Sit Down,1991,41.657646,-93.4969463,,90,85,2250,90,Y,2
2:recent,Mean Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1991,41.4572623,-82.6729522,65,161,155,5427,193,N,0
2:recent,Wildcat,Frontier City,Oklahoma City,Oklahoma,Wooden,Sit Down,1991,35.5856674,-97.4394665,60,75,65,2653,130,N,0
2:recent,Rattler,Six Flags Fiesta Texas,San Antonio,Texas,Wooden,Sit Down,1992,29.5991156,-98.6105607,65,180,124,5080,,N,0
2:recent,Batman The Escape,Six Flags AstroWorld,Houston,Texas,Steel,Stand Up,1993,29.7604267,-95.3698028,55,90,85,2300,,Y,1
2:recent,Canyon Blaster,Adventuredome,Las Vegas,Nevada,Steel,Sit Down,1993,36.1380797,-115.1659971,41,94,66,2423,90,Y,4
2:recent,Diamond Back,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1993,35.5856674,-97.4394665,45,56,47,635,66,Y,1
2:recent,Kumba,Busch Gardens Tampa,Tampa,Florida,Steel,Sit Down,1993,28.037066,-82.4194607,60,143,135,3978,174,Y,7
2:recent,Top Gun,Paramounts Great America,Santa Clara,California,Steel,Inverted,1993,37.3984051,-121.9751567,50,102,91,2260,146,Y,3
2:recent,Whirlwind,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1993,40.8775313,-76.5042299,,64,48,1200,,Y,2
2:recent,Comet,Great Escape,Lake George,New York,Wooden,Sit Down,1994,43.350332,-73.6917988,55,95,87,4197,120,N,0
2:recent,Desperado,Buffalo Bills Resort & Casino,Primm,Nevada,Steel,Sit Down,1994,35.6148809,-115.3847398,80,209,225,5843,163,N,0
2:recent,Raptor,Cedar Point,Sandusky,Ohio,Steel,Inverted,1994,41.4572623,-82.6729522,57,137,119,3790,136,Y,6
2:recent,Cyclops,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1995,43.6274794,-89.7709579,58,70,75,1900,60,N,0
2:recent,Great NorEaster,Moreys Piers,Wildwood,New Jersey,Steel,Inverted,1995,38.9857095,-74.8094128,55,115,95,2170,125,Y,5
2:recent,Jaguar!,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1995,33.8443038,-118.0002265,35,65,45,2602,120,N,0
2:recent,Raven,Holiday World,Santa Claus,Indiana,Wooden,Sit Down,1995,38.1187443,-86.9158101,48,80,110,2731,90,N,0
2:recent,Screamer,Scandia Amusement Park,Ontario,California,Steel,Sit Down,1995,34.0633443,-117.6508876,50,90,80,2600,116,N,0
2:recent,Sidewinder,Six Flags Elitch Gardens,Denver,Colorado,Steel,Sit Down,1995,39.750183,-105.0101417,45,56,47,635,66,Y,1
2:recent,Viper,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1995,42.3706208,-87.9360261,50,100,80,3458,105,N,0
2:recent,Great White,Moreys Piers,Wildwood,New Jersey,Wooden,Sit Down,1996,38.9857095,-74.8094128,50,110,100,3300,120,N,0
2:recent,Mantis,Cedar Point,Sandusky,Ohio,Steel,Stand Up,1996,41.4572623,-82.6729522,60,145,137,3900,160,Y,4
2:recent,Montu,Busch Gardens Tampa,Tampa,Florida,Steel,Inverted,1996,28.037066,-82.4194607,60,150,128,3983,180,Y,7
2:recent,Pegasus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1996,43.6274794,-89.7709579,,60,45,,,N,0
2:recent,Wild Thing,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1996,44.7987426,-93.4536912,74,207,196,5460,180,N,0
2:recent,Wildcat,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1996,40.2887809,-76.6547469,50,90,85,3183,,N,0
2:recent,Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Inverted,1997,37.236405,-76.6458975,67,195,170,3828,190,,
2:recent,Chang,Six Flags Kentucky Kingdom,Louisville,Kentucky,Steel,Stand Up,1997,38.1977163,-85.7448923,63,154,144,4155,150,Y,5
2:recent,Cyclone,Williams Grove Park,Mechanicsburg,Pennsylvania,Wooden,Sit Down,1997,40.1552383,-77.0341376,,65,60,2300,,N,0
2:recent,Great White,SeaWorld Of Texas,San Antonio,Texas,Steel,Inverted,1997,29.4251905,-98.4945922,50,108,81,2562,120,Y,5
2:recent,Manhattan Express,New York Hotel & Casino,Las Vegas,Nevada,Steel,Sit Down,1997,36.102132,-115.1744225,67,203,144,4777,160,Y,2
2:recent,Steel Force,Dorney Park,Allentown,Pennsylvania,Steel,Sit Down,1997,40.5784549,-75.5331062,75,200,205,5600,180,N,0
2:recent,Superman The Escape,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1997,34.4253305,-118.5972191,100,415,328,1235,28,N,0
2:recent,Wild Thing,Wild Waves and Enchanted Village,Federal Way,Washington,Steel,Sit Down,1997,47.2731529,-122.3126059,,,64,,60,Y,3
2:recent,Zeus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1997,43.6274794,-89.7709579,60,90,85,2900,85,N,0
2:recent,Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,40.1360605,-74.4361629,70,200,139,1137,32,Y,2
2:recent,Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,40.1360605,-74.4361629,70,200,105,1229,48,Y,3
2:recent,Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,Wooden,Sit Down,1998,43.5280584,-70.427795,55,100,82,2700,118,N,0
2:recent,GhostRider,Knotts Berry Farm,Buena Park,California,Wooden,Sit Down,1998,33.8443038,-118.0002265,56,118,108,4533,160,N,0
2:recent,Great Bear,Hersheypark,Hershey,Pennsylvania,Steel,Inverted,1998,40.2887809,-76.6547469,58,90,124,2800,175,Y,4
2:recent,Invertigo,Paramounts Great America,Santa Clara,California,Steel,Inverted,1998,37.3984051,-121.9751567,50,161,138,1014,90,Y,3
2:recent,Mamba,Worlds of Fun,Kansas City,Missouri,Steel,Sit Down,1998,39.1763123,-94.4862721,75,205,205,5600,180,N,0
2:recent,Riddlers Revenge,Six Flags Magic Mountain,Valencia,California,Steel,Stand Up,1998,34.4253305,-118.5972191,65,156,146,4370,180,Y,6
2:recent,Vapor Trail,Sesame Place,Langhorne,Pennsylvania,Steel,Sit Down,1998,40.1861366,-74.8712506,27,43,56,1300,180,N,0
